conversion_certificate,deed_from_previous_owner,electricity_connection,electricity_connection_detail,encumberence_certificate,is_the_plot_free_of_any_legal_issues,revenue_document,road_available,road_available_detail,sewage_connection,sewage_connection_detail,title_deed,title_deed_detail,water_connection,water_connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_available,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
Yes,Yes,No,,No,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,,9,,Sonarpur,2.0,35.1,1,595.0,Resale,Residential Land / Plot,0,0,0,10.0,5895.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Partition Deed,Yes,Borewell,,No,No,,1,Congo,Nazirabad,3.0,8.5,1,472.0,Resale,Residential Land / Plot,0,0,0,45.0,1800.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,,,Yes,No,,5,2,Debendra Pally,2.0,40.0,1,588.0,Resale,Residential Land / Plot,1,0,0,10.0,6806.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Sale Deed,No,,,Yes,No,,4,1,Baruipur,4.0,210.0,1,1458.0,New Property,Residential Land / Plot,1,1,0,10.0,14400.0
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,1,,Bhasa,4.0,70.0,1,648.0,Resale,Residential Land / Plot,0,0,0,9.0,10800.0
Yes,Yes,Yes,Electricity Board,Yes,No,Yes,Yes,Pucca Road,Yes,Underground,Yes,Partition Deed,Yes,Water Board,,Yes,Yes,,13,2,Joka,2.0,1.6,1,111.0,Resale,Residential Land / Plot,0,0,0,20.0,1440.0
Yes,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,"Park, Security",No,No,81 X 53.58,4,,Joka,,15.0,1,346.0,Resale,Residential Land / Plot,1,1,0,,4340.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,20,Bagnan,4.0,45.0,1,2066.0,Resale,Residential Land / Plot,0,0,0,10.0,2178.0
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,Congo,Baruipur,1.0,16.0,1,556.0,Resale,Residential Land / Plot,0,0,0,10.0,2880.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,47 X 33,0,,Sodepur,2.0,24.5,1,1701.0,Resale,Residential Land / Plot,0,0,0,3.0,1440.0
No,No,No,,No,Yes,Yes,Yes,Mud Road,No,,Yes,Sale Deed,No,,,No,No,429 X 295,0,2,Hooghly,2.0,7.5,1,521.0,Resale,Residential Land / Plot,0,1,0,4.0,1440.0
No,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Will Deed,No,,,Yes,No,,1,3,Nayabad,2.0,60.0,1,4167.0,Resale,Residential Land / Plot,0,0,0,7.0,1440.0
,,,,,,,,,,,,,,,,No,No,,1,Congo,Sonarpur,1.0,16.0,1,1067.0,Resale,Residential Land / Plot,0,0,0,10.0,1500.0
No,Yes,No,,Yes,Yes,,No,,Yes,Open,Yes,Sale Deed,No,,,No,No,,1,Congo,Sarsuna,2.0,45.0,1,1250.0,Resale,Residential Land / Plot,0,0,0,32.0,3600.0
Yes,Yes,No,,Yes,No,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,0,,Jagatdal,2.0,10.0,1,694.0,Resale,Residential Land / Plot,0,0,0,3.0,1440.0
,,,,,,,,,,,,,,,,No,No,,7,1,Howrah,1.0,55.0,1,2644.0,Resale,Residential Land / Plot,0,0,0,3.0,2080.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,Terita Bazar,,150.0,1,1488.0,Resale,Residential Land / Plot,0,0,0,,10080.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,Ghosh Para Howrah,4.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,3920.0
,,,,,,,,,,,,,,,,No,No,,0,3,Batanagar,3.0,15.0,1,694.0,Resale,Residential Land / Plot,0,0,0,2.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,,4,3,"International Airport, Dum Dum, Jessore Road",2.0,58.0,1,4028.0,Resale,Residential Land / Plot,0,1,0,14.0,1440.0
No,No,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,1,6,Rajpur,3.0,65.0,1,1290.0,Resale,Residential Land / Plot,0,0,0,5.0,5040.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,No,,,Yes,No,88.99 X 46.97,1,3,"Anandapuri, Barrackpore",1.0,110.00000000000001,1,2632.0,Resale,Residential Land / Plot,0,0,0,3.0,4180.0
,,,,,,,,,,,,,,,,Yes,No,,1,,"New Garia, Garia",1.0,60.0,1,3509.0,Resale,Residential Land / Plot,0,1,0,5.0,1710.0
,,,,,,,,,,,,,,,,No,No,,0,,Madhyamgram,,,0,,New Property,Residential Land / Plot,0,1,0,,12240.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,4,,Joka,1.0,1.6,1,222.0,Resale,Residential Land / Plot,0,0,0,8.0,720.0
,,,,,,,,,,,,,,,,No,Yes,966 X 1073,11,4,Action Area 3,4.0,17.0,1,1181.0,New Property,Residential Land / Plot,1,1,0,20.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,3,Congo,Baranagar,2.0,35.0,1,2160.0,Resale,Residential Land / Plot,0,0,0,10.0,1620.0
Yes,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,"Park, Security",No,No,81 X 53.58,4,,Joka,,15.0,1,346.0,Resale,Residential Land / Plot,1,1,0,,4340.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Sonarpur,,15.0,1,694.0,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,Yes,No,100 X 100,0,4,"Hazra, Kalighat",3.0,,0,,Resale,Residential Land / Plot,1,1,0,35.0,10000.0
,,,,,,,,,,,,,,,,No,No,,0,,"Kankulia, Dhakuria",4.0,1500.0,1,3472.0,Resale,Residential Land / Plot,0,0,0,10.0,43200.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30.42,20,,Joka,2.0,3.6,1,492.0,New Property,Residential Land / Plot,1,1,0,15.0,730.0
,,,,,,,,,,,,,,,,No,No,,0,,Birati,,100.0,1,2778.0,New Property,Residential Land / Plot,0,0,0,,3600.0
,,,,,,,,,,,,,,,"Lift, Security, Vaastu Compliant, Visitor Parking",No,No,80 X 40,2,5,New Town,2.0,187.0,1,5844.0,Resale,Residential Land / Plot,1,1,0,20.0,3200.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Water Board,,No,No,80 X 40,2,5,New Town,2.0,187.0,1,5844.0,Resale,Residential Land / Plot,0,1,0,20.0,3200.0
,,,,,,,,,,,,,,,,No,Yes,,0,4,Joka,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Duillya,2.0,27.0,1,1484.0,Resale,Residential Land / Plot,0,0,0,4.0,1820.0
Yes,No,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Lease Deed,Yes,,,No,No,65.6 X 32.8,3,4,Action Area 2B,3.0,,0,,Resale,Residential Land / Plot,1,1,0,13.0,2153.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,"Swimming Pool, Park, Security, Kids Play Area, Rentable Community Space",No,No,,1,,Joka,1.0,3.5,1,486.0,Resale,Residential Land / Plot,0,0,0,4.0,720.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Other,Yes,Borewell,,Yes,No,,0,3,Gobra Dankuni,4.0,,0,,Resale,Residential Land / Plot,0,0,0,200.0,1440.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,0,,Mudiali Kalighat,,,0,,Resale,Residential Land / Plot,0,0,0,,6481.0
,,,,,,,,,,,,,,,"Power Back Up, Water Storage",No,No,,1,,Bantala,,280.0,1,1051.0,New Property,Residential Land / Plot,0,1,0,,26640.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,No,53 X 38,0,3,Narendrapur Rajpur Sonarpur,2.0,30.0,1,1490.0,Resale,Residential Land / Plot,0,1,0,10.0,2014.0
,,,,,,,,,,,,,,,,No,No,,6,Congo,Joka,1.0,11.0,1,382.0,Resale,Residential Land / Plot,0,0,0,20.0,2880.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,Rajarhat,,200.0,1,2525.0,Resale,Residential Land / Plot,0,0,0,,7921.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Mud Road,Yes,Open,Yes,Other,Yes,Water Board,,No,No,120 X 120,7,3,Bisharpara,3.0,68.0,1,472.0,Resale,Residential Land / Plot,0,1,0,10.0,14400.0
,,,,,,,,,,,,,,,,Yes,Yes,6.99 X 9000,0,3,"Hazra, Kalighat",2.0,,0,,Resale,Residential Land / Plot,0,1,0,300.0,63000.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,Rishra,,250.0,1,1578.0,Resale,Residential Land / Plot,0,0,0,,15840.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Howrah,,10.0,1,690.0,Resale,Residential Land / Plot,0,0,0,,1450.0
,,,,,,,,,,,,,,,,No,No,,0,,Habra,4.0,36.0,1,1111.0,Resale,Residential Land / Plot,0,0,0,2.0,3240.0
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 40.2,0,4,Kankurgachi,4.0,80.0,1,3703.0,Resale,Residential Land / Plot,0,0,0,25.0,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,0,3,"Kamrabad, Narendrapur",2.0,33.0,1,1521.0,Resale,Residential Land / Plot,0,0,0,3.0,2169.0
,,,,,,,,,,,,,,,,Yes,No,,4,,New Town,,200.0,1,2105.0,Resale,Residential Land / Plot,0,0,0,,9500.0
,,,,,,,,,,,,,,,,No,No,45 X 32,3,1,Debrupayan Nagar,1.0,15.0,1,1042.0,Resale,Residential Land / Plot,1,1,0,32.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,160 X 156.25,0,1,"Kamalgazi, Narendrapur",2.0,350.0,1,1400.0,Resale,Residential Land / Plot,0,0,0,4.0,25000.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,40 X 36,17,,Joka,2.0,8.5,1,590.0,New Property,Residential Land / Plot,1,1,0,15.0,1440.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Mud Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Park, Security",No,No,,2,Congo,Joka,3.0,2.5,1,174.0,Resale,Residential Land / Plot,0,0,0,20.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,4,Bahirgachi,,,0,,Resale,Residential Land / Plot,0,0,0,,28800.0
Yes,No,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,Yes,58.49 X 53,1,,Simla Machuabazar,1.0,,0,,Resale,Residential Land / Plot,0,0,0,3.0,3100.0
No,No,No,,Yes,No,,No,,No,,No,,No,,,No,No,,0,1,Metiabruz,1.0,200.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,1.0,14400.0
,,,,,,,,,,,,,,,,Yes,Yes,50 X 42,14,4,Joka,2.0,11.3,1,538.0,New Property,Residential Land / Plot,1,1,0,10.0,2100.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,No,,3,15,Pailan,4.0,15.0,1,1042.0,Resale,Residential Land / Plot,0,0,0,7.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,50 X 14.4,11,4,Joka,2.0,4.0,1,556.0,New Property,Residential Land / Plot,1,1,0,10.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,50 X 21.6,13,4,Joka,2.0,6.0,1,556.0,New Property,Residential Land / Plot,1,1,0,10.0,1080.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,90 X 40,24,5,New Town,2.0,41.1,1,1143.0,New Property,Residential Land / Plot,0,1,0,10.0,3600.0
,,,,,,,,,,,,,,,,Yes,Yes,50 X 28.8,7,4,Joka,2.0,8.0,1,556.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,4,Canning 2,,,0,,Resale,Residential Land / Plot,0,0,0,,259200.0
No,No,No,,No,Yes,,Yes,Pucca Road,No,,Yes,Gift Deed,No,,,No,No,,0,,"Dash Drone, Rajarhat Newtown",2.0,52.6,1,2160.0,Resale,Residential Land / Plot,0,0,0,10.0,2435.0
,,,,,,,,,,,,,,,,No,No,,0,Congo,New Town,2.0,30.0,1,2083.0,New Property,Residential Land / Plot,0,0,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,2,New Town,2.0,,0,,New Property,Residential Land / Plot,0,0,0,40.0,18.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,Rahara,,40.0,1,2667.0,Resale,Residential Land / Plot,0,0,0,,1500.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,Yes,,0,,Jagtala,2.0,108.0,1,1315.0,Resale,Residential Land / Plot,0,0,0,8.0,8211.0
,,,,,,,,,,,,,,,,No,No,,0,3,Harish Nagar,,43.5,1,486.0,Resale,Residential Land / Plot,0,0,0,,8956.0
No,Yes,Yes,,No,Yes,,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,Borewell,,No,No,,0,3,Action Area 3,1.0,,0,,Resale,Residential Land / Plot,0,0,0,5.0,57600.0
,,,,,,,,,,,,,,,,No,No,,0,1,Kanchrapara,,,0,,Resale,Residential Land / Plot,0,0,0,,94500.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,Yes,48 X 30,4,Congo,Joka,4.0,2.0,1,139.0,Resale,Residential Land / Plot,0,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,No,49 X 33.06,6,5,Action Area 3,1.0,95.0,1,5864.0,Resale,Residential Land / Plot,0,1,0,13.0,1620.0
,,,,,,,,,,,,,,,,Yes,No,,1,,Mukundapur,,42.0,1,2917.0,Resale,Residential Land / Plot,0,1,0,,1440.0
,,,,,,,,,,,,,,,,No,No,,0,4,Nayabad,1.0,60.0,1,2778.0,Resale,Residential Land / Plot,0,0,0,6.0,2160.0
,,,,,,,,,,,,,,,,No,No,,0,5,Rajarhat,,,0,,Resale,Residential Land / Plot,0,0,0,,30240.0
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,No,,Yes,,,Yes,No,,0,,Subhasgram,,9.0,1,625.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,35 X 41.14,24,5,New Town,2.0,16.2,1,1125.0,New Property,Residential Land / Plot,0,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,Yes,,3,,Garia Station Road,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
Yes,Yes,No,,Yes,Yes,,Yes,On Highway,No,,Yes,Sale Deed,No,,,No,No,,0,,Rabindra Nagar Alipore,,150.0,1,3473.0,Resale,Residential Land / Plot,0,0,0,,4320.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Lease Deed,Yes,Water Board,,No,No,20.1 X 11.2,0,,Sector 1 Salt Lake City,2.0,,0,,New Property,Residential Land / Plot,0,1,0,40.0,225.0
,,,,,,,,,,,,,,,,Yes,No,,2,4,"Purbalok, Mukundapur",2.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,3600.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Gymnasium, Park",No,No,,15,,Howrah,,120.0,1,1515.0,New Property,Residential Land / Plot,0,1,0,,7921.0
,,,,,,,,,,,,,,,,No,No,24 X 30,14,,"Diamond Park, Joka",1.0,3.9,1,540.0,New Property,Residential Land / Plot,1,1,0,24.0,720.0
,,,,,,,,,,,,,,,,No,No,48 X 75,3,6,Sonarpur Station Road,2.0,35.0,1,972.0,New Property,Residential Land / Plot,0,1,0,6.0,3600.0
,,,,,,,,,,,,,,,,No,No,,0,4,Belghoria,1.0,39.0,1,1653.0,Resale,Residential Land / Plot,0,0,0,6.0,2360.0
,,,,,,,,,,,,,,,,Yes,No,,0,,New Town,2.0,9.0,1,417.0,Resale,Residential Land / Plot,0,0,0,30.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,52 X 29,1,1,Rajarhat,2.0,20.0,1,1326.0,Resale,Residential Land / Plot,0,1,0,5.0,1508.0
,,,,,,,,,,,,,,,,No,No,,0,Congo,Garia Station Road,2.0,29.5,1,1686.0,Resale,Residential Land / Plot,0,0,0,10.0,1750.0
,,,,,,,,,,,,,,,,Yes,No,,13,,Bhowanipore,1.0,,0,,Resale,Residential Land / Plot,0,0,0,6.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,60 X 30,0,5,Action Area 3,2.0,22.5,1,1250.0,New Property,Residential Land / Plot,0,1,0,10.0,1800.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,70 X 30.86,24,7,Action Area 3,2.0,26.5,1,1225.0,New Property,Residential Land / Plot,0,1,0,10.0,2160.0
,,,,,,,,,,,,,,,,Yes,Yes,,1,,Rajpur Sonarpur,2.0,200.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,10.0,14400.0
Yes,No,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,0,,Deshbandhu Road,2.0,43.0,1,1991.0,Resale,Residential Land / Plot,0,0,0,3.0,2160.0
,,,,,,,,,,,,,,,,No,Yes,24 X 30,15,,"Diamond Park, Joka",1.0,2.0,1,278.0,New Property,Residential Land / Plot,1,1,0,25.0,720.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,2,3,Joka,3.0,2.0,1,139.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,Water Board,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,,11,3,Joka,3.0,,0,,Resale,Residential Land / Plot,0,0,0,34.0,675000.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,35 X 41.14,24,5,New Town,2.0,16.6,1,1150.0,New Property,Residential Land / Plot,0,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,,Behala,2.0,300.0,1,4166.0,Resale,Residential Land / Plot,0,0,0,16.0,7201.0
,,,,,,,,,,,,,,,,Yes,No,24 X 30,8,2,"Diamond Park, Joka",4.0,1.0,1,139.0,New Property,Residential Land / Plot,1,1,0,20.0,720.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Mukundapur,,25.0,1,1761.0,Resale,Residential Land / Plot,0,0,0,,1420.0
,,,,,,,,,,,,,,,,No,No,,1,,New Town,3.0,95.0,1,4398.0,Resale,Residential Land / Plot,0,0,0,10.0,2160.0
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Sale Deed,Yes,,,Yes,No,,0,,Subhasgram,1.0,25.0,1,289.0,Resale,Residential Land / Plot,0,0,0,30.0,8641.0
,,,,,,,,,,,,,,,,No,No,,0,4,Action Area 3,2.0,,0,,Resale,Residential Land / Plot,1,1,0,20.0,2185.0
,,,,,,,,,,,,,,,,No,No,,0,5,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,1,0,12.0,3228.0
,,,,,,,,,,,,,,,,Yes,No,1637 X 1610,3,4,Thakurpukur,2.0,65.0,1,1805.0,Resale,Residential Land / Plot,0,0,0,6.0,3600.0
,,,,,,,,,,,,,,,,No,No,,0,,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,0,0,12.0,3228.0
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,0,,Joka,1.0,12.0,1,667.0,Resale,Residential Land / Plot,0,0,0,30.0,1800.0
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,No,,1,3,Sonarpur,1.0,21.0,1,1419.0,Resale,Residential Land / Plot,0,0,0,6.0,1480.0
,,,,,,,,,,,,,,,,No,No,,0,,Joka,2.0,21.0,1,972.0,Resale,Residential Land / Plot,1,0,0,7.0,2160.0
No,No,No,,Yes,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,69 X 40.6,0,,"Fartabad, Garia",3.0,112.00000000000001,1,4019.0,Resale,Residential Land / Plot,0,1,0,8.0,2799.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,Yes,No,465 X 376,2,4,"Panchasayar, Garia",4.0,40.0,1,1852.0,Resale,Residential Land / Plot,0,0,0,4.0,2160.0
,,,,,,,,,,,,,,,,Yes,Yes,104 X 50,3,1,Nayabad,3.0,105.0,1,2019.0,Resale,Residential Land / Plot,0,0,0,12.0,5200.0
,,,,,,,,,,,,,,,,No,No,30 X 48,3,3,Sonarpur,1.0,6.0,1,417.0,New Property,Residential Land / Plot,0,1,0,20.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,1,Rajpur,,,0,,Resale,Residential Land / Plot,0,0,0,,
,,,,,,,,,,,,,,,,Yes,No,,0,5,Rajarhat,,180.0,1,2250.0,Resale,Residential Land / Plot,0,0,0,,8000.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Kasba,,,0,,Resale,Residential Land / Plot,0,0,0,,1000.0
,,,,,,,,,,,,,,,,No,No,,0,,Ranaghat,4.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,100800.0
No,Yes,No,,No,Yes,,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,Water Board,,Yes,No,,1,4,Harinavi,3.0,40.0,1,2020.0,Resale,Residential Land / Plot,0,0,0,4.0,1980.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,6,,Nabadwip,4.0,120.0,1,1389.0,Resale,Residential Land / Plot,1,0,0,10.0,8640.0
